sentence_id,level_id,word_id,word,sentence,label,label_sign,split,prompt,normal_pos,normal_neg,random_pos,random_neg,linear_pos,linear_neg,pca_pos,pca_neg,best_method,best_score
sentence.3,level.1,1,abysmal,The result was abysmal,negative,-1,TEST,Sentence: The result was abysmal. Sentiment (positive/negative):,0.4523922801017761,0.5476077198982239,0.4523922801017761,0.5476077198982239,0.4523922801017761,0.5476077198982239,0.4523922801017761,0.5476077198982239,linear,0.5476077198982239
sentence.3,level.1,2,atrocious,The result was atrocious,negative,-1,TEST,Sentence: The result was atrocious. Sentiment (positive/negative):,0.4164665639400482,0.5835334062576294,0.4164665639400482,0.5835334062576294,0.4164665639400482,0.5835334062576294,0.4164665639400482,0.5835334062576294,linear,0.5835334062576294
sentence.3,level.1,3,awful,The result was awful,negative,-1,TEST,Sentence: The result was awful. Sentiment (positive/negative):,0.42378589510917664,0.5762141346931458,0.42378589510917664,0.5762141346931458,0.42378589510917664,0.5762141346931458,0.42378589510917664,0.5762141346931458,linear,0.5762141346931458
sentence.3,level.2,1,terrible,The result was terrible,negative,-1,TEST,Sentence: The result was terrible. Sentiment (positive/negative):,0.4268478751182556,0.5731521248817444,0.4268478751182556,0.5731521248817444,0.4268478751182556,0.5731521248817444,0.4268478751182556,0.5731521248817444,linear,0.5731521248817444
sentence.3,level.2,2,horrible,The result was horrible,negative,-1,TEST,Sentence: The result was horrible. Sentiment (positive/negative):,0.40920233726501465,0.5907976627349854,0.40920233726501465,0.5907976627349854,0.40920233726501465,0.5907976627349854,0.40920233726501465,0.5907976627349854,linear,0.5907976627349854
sentence.3,level.2,3,dreadful,The result was dreadful,negative,-1,TEST,Sentence: The result was dreadful. Sentiment (positive/negative):,0.4342476427555084,0.5657524466514587,0.4342476427555084,0.5657524466514587,0.4342476427555084,0.5657524466514587,0.4342476427555084,0.5657524466514587,linear,0.5657524466514587
sentence.3,level.3,1,bad,The result was bad,negative,-1,TEST,Sentence: The result was bad. Sentiment (positive/negative):,0.48557302355766296,0.5144270062446594,0.48557302355766296,0.5144270062446594,0.48557302355766296,0.5144270062446594,0.48557302355766296,0.5144270062446594,linear,0.5144270062446594
sentence.3,level.3,2,poor,The result was poor,negative,-1,TEST,Sentence: The result was poor. Sentiment (positive/negative):,0.5176776051521301,0.48232248425483704,0.5176776051521301,0.48232248425483704,0.5176776051521301,0.48232248425483704,0.5176776051521301,0.48232248425483704,linear,0.48232248425483704
sentence.3,level.3,3,weak,The result was weak,negative,-1,TEST,Sentence: The result was weak. Sentiment (positive/negative):,0.5323719382286072,0.46762803196907043,0.5323719382286072,0.46762803196907043,0.5323719382286072,0.46762803196907043,0.5323719382286072,0.46762803196907043,linear,0.46762803196907043
sentence.3,level.4,1,mediocre,The result was mediocre,negative,-1,TEST,Sentence: The result was mediocre. Sentiment (positive/negative):,0.517426073551178,0.48257386684417725,0.517426073551178,0.48257386684417725,0.517426073551178,0.48257386684417725,0.517426073551178,0.48257386684417725,linear,0.48257386684417725
sentence.3,level.4,2,uninspired,The result was uninspired,negative,-1,TEST,Sentence: The result was uninspired. Sentiment (positive/negative):,0.5574180483818054,0.4425818622112274,0.5574180483818054,0.4425818622112274,0.5574180483818054,0.4425818622112274,0.5574180483818054,0.4425818622112274,linear,0.4425818622112274
sentence.3,level.4,3,lackluster,The result was lackluster,negative,-1,TEST,Sentence: The result was lackluster. Sentiment (positive/negative):,0.48990386724472046,0.5100961327552795,0.48990386724472046,0.5100961327552795,0.48990386724472046,0.5100961327552795,0.48990386724472046,0.5100961327552795,linear,0.5100961327552795
sentence.3,level.7,1,good,The result was good,positive,1,TEST,Sentence: The result was good. Sentiment (positive/negative):,0.7656152844429016,0.23438473045825958,0.7656152844429016,0.23438473045825958,0.7656152844429016,0.23438473045825958,0.7656152844429016,0.23438473045825958,linear,0.7656152844429016
sentence.3,level.7,2,enjoyable,The result was enjoyable,positive,1,TEST,Sentence: The result was enjoyable. Sentiment (positive/negative):,0.8162736892700195,0.18372631072998047,0.8162736892700195,0.18372631072998047,0.8162736892700195,0.18372631072998047,0.8162736892700195,0.18372631072998047,linear,0.8162736892700195
sentence.3,level.7,3,satisfying,The result was satisfying,positive,1,TEST,Sentence: The result was satisfying. Sentiment (positive/negative):,0.8111588358879089,0.18884114921092987,0.8111588358879089,0.18884114921092987,0.8111588358879089,0.18884114921092987,0.8111588358879089,0.18884114921092987,linear,0.8111588358879089
sentence.3,level.8,1,great,The result was great,positive,1,TEST,Sentence: The result was great. Sentiment (positive/negative):,0.7449318766593933,0.2550681233406067,0.7449318766593933,0.2550681233406067,0.7449318766593933,0.2550681233406067,0.7449318766593933,0.2550681233406067,linear,0.7449318766593933
sentence.3,level.8,2,impressive,The result was impressive,positive,1,TEST,Sentence: The result was impressive. Sentiment (positive/negative):,0.7236819267272949,0.27631816267967224,0.7236819267272949,0.27631816267967224,0.7236819267272949,0.27631816267967224,0.7236819267272949,0.27631816267967224,linear,0.7236819267272949
sentence.3,level.8,3,strong,The result was strong,positive,1,TEST,Sentence: The result was strong. Sentiment (positive/negative):,0.676726758480072,0.32327327132225037,0.676726758480072,0.32327327132225037,0.676726758480072,0.32327327132225037,0.676726758480072,0.32327327132225037,linear,0.676726758480072
sentence.3,level.9,1,excellent,The result was excellent,positive,1,TEST,Sentence: The result was excellent. Sentiment (positive/negative):,0.7589547038078308,0.2410452514886856,0.7589547038078308,0.2410452514886856,0.7589547038078308,0.2410452514886856,0.7589547038078308,0.2410452514886856,linear,0.7589547038078308
sentence.3,level.9,2,fantastic,The result was fantastic,positive,1,TEST,Sentence: The result was fantastic. Sentiment (positive/negative):,0.7729032039642334,0.22709685564041138,0.7729032039642334,0.22709685564041138,0.7729032039642334,0.22709685564041138,0.7729032039642334,0.22709685564041138,linear,0.7729032039642334
