,sentence_id,level_id,word_id,word,sentence,label,label_sign,split,prompt,normal_pos,normal_neg,random_pos,random_neg,linear_pos,linear_neg,pca_pos,pca_neg
48,sentence.3,level.1,1,abysmal,The result was abysmal,negative,-1,TEST,Sentence: The result was abysmal. Sentiment (positive/negative):,0.4523922801017761,0.5476077198982239,0.4476904571056366,0.5523095726966858,0.5399309396743774,0.46006906032562256,0.10101848840713501,0.898981511592865
49,sentence.3,level.1,2,atrocious,The result was atrocious,negative,-1,TEST,Sentence: The result was atrocious. Sentiment (positive/negative):,0.4164665639400482,0.5835334062576294,0.43737661838531494,0.5626233816146851,0.5048559904098511,0.4951440989971161,0.13122497498989105,0.8687750101089478
50,sentence.3,level.1,3,awful,The result was awful,negative,-1,TEST,Sentence: The result was awful. Sentiment (positive/negative):,0.42378589510917664,0.5762141346931458,0.4601600170135498,0.5398399829864502,0.5004997253417969,0.4995002746582031,0.4635315239429474,0.536468505859375
51,sentence.3,level.2,1,terrible,The result was terrible,negative,-1,TEST,Sentence: The result was terrible. Sentiment (positive/negative):,0.4268478751182556,0.5731521248817444,0.4563756585121155,0.5436242818832397,0.5051305890083313,0.4948694109916687,0.21617306768894196,0.7838268876075745
52,sentence.3,level.2,2,horrible,The result was horrible,negative,-1,TEST,Sentence: The result was horrible. Sentiment (positive/negative):,0.40920233726501465,0.5907976627349854,0.4448549151420593,0.5551450848579407,0.4862171411514282,0.513782799243927,0.6043888926506042,0.39561110734939575
53,sentence.3,level.2,3,dreadful,The result was dreadful,negative,-1,TEST,Sentence: The result was dreadful. Sentiment (positive/negative):,0.4342476427555084,0.5657524466514587,0.4814728796482086,0.5185271501541138,0.5048559904098511,0.4951440989971161,0.15171554684638977,0.8482843637466431
54,sentence.3,level.3,1,bad,The result was bad,negative,-1,TEST,Sentence: The result was bad. Sentiment (positive/negative):,0.48557302355766296,0.5144270062446594,0.4808709919452667,0.5191289782524109,0.560932993888855,0.4390670359134674,0.028786104172468185,0.9712138175964355
55,sentence.3,level.3,2,poor,The result was poor,negative,-1,TEST,Sentence: The result was poor. Sentiment (positive/negative):,0.5176776051521301,0.48232248425483704,0.4943849742412567,0.5056149959564209,0.5820456743240356,0.41795435547828674,0.00963589083403349,0.990364134311676
56,sentence.3,level.3,3,weak,The result was weak,negative,-1,TEST,Sentence: The result was weak. Sentiment (positive/negative):,0.5323719382286072,0.46762803196907043,0.5272366404533386,0.472763329744339,0.5841192007064819,0.4158807694911957,0.2511064410209656,0.7488936185836792
57,sentence.3,level.4,1,mediocre,The result was mediocre,negative,-1,TEST,Sentence: The result was mediocre. Sentiment (positive/negative):,0.517426073551178,0.48257386684417725,0.5134168863296509,0.4865831136703491,0.586300790309906,0.413699209690094,0.05792829021811485,0.9420717358589172
